BG_GEOID,Population
1500000US410510104073,1427
1500000US410510104081,1588
1500000US410510104082,1758
1500000US410510104083,1147
1500000US410510104084,1434
1500000US410510104091,5772
1500000US410510104092,1864
1500000US410510104093,861
1500000US410510104101,2140
1500000US410510104102,1639
1500000US410510104103,1049
1500000US410510104111,1682
1500000US410510104112,1539
1500000US410510105001,1381
1500000US410510105002,1115
1500000US410510105003,519
1500000US410510105004,1171
1500000US410510106001,650
1500000US410510106002,1363
1500000US410510106003,904
1500000US410519800001,0
